Price,Type,Bedrooms,Bathrooms,Square Feet
124999,Condo,2,2,988
299900,Townhouse,3,4,2121
400000,House,3,2,1508
419000,House,4,3,3403
439900,House,5,4,4097
129000,Condo,1,1,726
129900,Townhouse,1,1,850
173999,House,3,2,1334
179000,House,3,1,1165
214000,House,3,2,1544
220000,House,4,2,3042
250000,House,4,3,2240
273000,Condo,2,2,1206
319000,House,4,2,2332
325000,House,4,3,2651
325000,House,3,2,1858
345000,House,4,3,2629
365000,House,3,4,2500
599900,Townhouse,3,4,2958
724000,House,3,5,4185
119000,House,2,2,1098
139900,Townhouse,2,3,1620
140000,Townhouse,2,2,1076
150000,Townhouse,3,3,1636
183900,Townhouse,2,3,1280
190000,House,3,3,2052
299900,Townhouse,3,4,2100
315000,House,2,1,1406
323000,Townhouse,2,3,1976
359500,House,3,2,1490
429900,House,3,4,2544
850000,House,3,2,1925
1599900,House,5,4,4010
2995000,House,5,6,5544
168500,House,4,2,1615
249000,House,3,2,1632
297000,House,2,3,1424
380000,Townhouse,3,3,2196
595000,House,2,3,3050
619900,House,3,5,2498
685000,House,3,3,3231
735000,House,3,4,2424
67000,Condo,1,1,810
170000,House,3,2,1848
214900,Condo,2,3,1340
230000,Townhouse,3,3,1872
230000,House,3,2,1669
238000,House,3,2,1973
261000,Townhouse,2,3,1543
275000,House,3,2,1515
369000,House,2,3,1512
374900,House,4,4,2254
464900,Townhouse,2,2,1920
469900,House,3,2,1770
479000,House,4,4,3208
499000,House,3,3,2650
550000,House,3,2,1725
629000,House,4,3,2526
689000,House,3,2,1778
1350000,House,4,4,3682
1649000,House,4,5,5059
153000,House,2,3,1444
189000,House,2,2,975
220000,Condo,1,2,1398
235000,House,3,3,1640
265000,House,2,2,1286
449000,House,2,3,2015
479999,Townhouse,3,4,3086
488500,Townhouse,3,3,2699
1750000,House,3,4,3069
525000,House,3,3,2641
249000,House,3,3,1737
635000,Townhouse,3,4,2933
1525000,House,3,4,2832
2000000,House,3,5,4241
2499000,House,4,6,4568
240000,Townhouse,3,3,2044
289900,House,4,2,1923
299900,Townhouse,3,3,2437
595000,House,3,3,2508
695000,House,4,3,3148
790000,House,4,5,3996
80000,Townhouse,3,2,1120
82999,Condo,1,1,651
95000,Condo,2,1,767
109900,Townhouse,3,2,1360
145000,House,3,2,1154
188000,Condo,1,1,886
192500,House,3,2,1498
212000,Condo,1,1,917
235000,House,1,1,1026
239900,House,4,2,2101
305000,House,4,4,3064
373000,House,4,3,2927
380000,House,4,3,2582
425000,Townhouse,3,4,2024
449900,House,5,4,3692
487500,House,3,4,2409
499500,House,3,3,3081
649000,House,2,2,1370
795000,House,3,4,3593
800000,House,3,3,3444
850000,Condo,2,3,2690
1185000,House,3,3,3158
144900,House,3,1,1096
160000,House,3,2,1489
195000,Townhouse,2,1,1726
209500,House,4,2,2268
238000,House,4,3,2306
387900,Townhouse,3,4,1850
440000,House,2,1,1325
474500,House,4,4,4124
829000,House,3,2,1617
845000,House,4,4,4722
1390000,House,5,6,6486
2155000,House,3,4,3605
2600000,House,5,6,5024
155000,Condo,2,1,796
189500,Townhouse,2,2,1422
215000,Condo,1,2,847
250000,House,3,2,1212
279500,House,3,3,2226
460000,House,3,4,2346
569000,House,4,3,2359
1250000,House,4,3,3276
1550000,House,4,4,3184
129800,Condo,2,1,840
175000,House,3,3,1904
179000,Condo,0,1,850
189900,House,3,2,1563
195000,House,3,3,2234
509000,House,3,4,2408
514900,House,4,4,3440
179950,Condo,2,2,988
245000,Condo,2,2,1006
250000,Condo,2,2,1095
279900,House,2,3,2088
420000,House,4,3,2631
538000,House,4,5,3321
549900,House,3,4,2477
5799900,House,5,7,8624
235000,Apartment,1,1,1026
149000,House,3,2,2055
275000,House,3,3,1542
289999,House,4,3,2627
495000,House,4,3,2492
585000,Townhouse,3,4,2846
1350000,House,4,3,2663
1900000,House,3,3,2733
2299000,House,5,7,6520
427000,House,3,4,2410
427000,House,3,4,2410
440000,Townhouse,3,4,2918
449000,House,3,3,2144
459000,House,3,4,2437
469000,House,3,4,3104
469000,House,3,4,3104
469000,House,3,4,3104
469000,House,3,4,3104
519000,House,4,4,3264
575000,Townhouse,3,4,3032
599900,Condo,2,2,1780
610000,House,3,4,3055
610000,House,3,4,3075
659000,House,3,2,2180
679000,House,4,3,2890
895000,House,5,4,3130
959000,House,5,4,3242
999900,House,7,6,6686
75000,House,2,1,480
88900,Condo,3,2,1274
169500,House,3,2,1538
180000,House,5,3,2420
191000,Condo,2,2,1087
195000,House,3,2,1764
240000,House,4,3,2616
259000,House,4,3,2366
274900,House,3,3,1658
350000,House,3,2,1370
379000,House,3,2,1544
389500,House,2,1,1098
458880,House,3,4,2444
465000,House,4,3,2562
509000,House,4,2,2562
725000,House,3,5,3400
949000,House,4,4,3728
1400000,House,3,4,2511
1579000,House,4,5,4626
1750000,House,2,3,2126
2195000,House,5,7,7632
2875000,House,4,6,6475
4549000,House,5,9,6569
249000,House,4,3,2378
725000,House,3,4,3166
849000,House,3,3,2610
1224000,House,5,7,4872
2185000,House,5,6,5151
135000,House,3,2,1730
249000,House,4,2,2143
824999,House,4,4,3518
1125000,House,5,4,3502
1230000,House,2,3,2021
1830000,House,3,4,2999
3855000,House,4,6,4736
540000,House,4,4,2438
1850000,House,4,5,4489
259900,House,2,2,1350
149000,Condo,2,2,875
184900,House,3,2,1429
195000,House,3,2,1944
299000,House,2,2,1352
574900,House,4,3,3229
739000,House,4,5,3725
525000,House,2,2,970
649000,Townhouse,4,4,3244
1350000,House,4,4,4094
82000,Condo,1,1,765
165000,House,4,2,1352
359000,Townhouse,3,4,2246
385900,House,3,2,1864
387000,House,3,4,2151
415000,House,5,3,2618
499000,House,3,3,2641
540000,House,3,3,2007
555000,House,5,4,3671
649900,House,3,4,2541
1555000,House,3,4,2548
142000,House,2,2,1296
235000,House,3,2,1638
239000,House,2,4,1528
243000,House,5,3,2736
323000,House,3,3,2616
440000,House,4,4,3120
595000,House,3,3,2390
650000,House,4,4,3364
1450000,House,4,4,3656
1635400,House,2,3,2257
80000,Condo,1,1,712
150000,Townhouse,2,3,1248
225000,Condo,2,2,1080
250000,Townhouse,2,3,1600
120000,Condo,1,1,671
153999,Townhouse,3,3,1344
158000,House,3,2,1181
185000,House,3,2,1510
199000,House,1,1,546
249000,House,4,3,2755
275000,House,4,3,1889
375000,Condo,1,2,1344
379000,Townhouse,3,4,2284
399000,Condo,3,3,1748
475000,House,3,3,2454
515000,House,3,3,2287
545000,House,3,4,2308
1069000,House,3,4,3300
1150000,House,4,5,3986
375000,House,2,3,1467
499000,House,3,2,1944
905000,House,3,3,3188
210000,House,1,1,800
255000,House,4,3,2539
280000,House,3,2,2402
313000,Townhouse,2,2,1166
379900,House,2,1,877
495000,House,3,3,2392
749000,House,4,3,3096
765000,House,3,2,2021
850000,House,4,4,3470
1095000,House,3,4,3753
3250000,House,5,6,5166
89900,Townhouse,2,2,950
224900,House,4,3,2364
229000,Condo,2,1,1138
255000,House,4,3,2080
380000,House,3,4,2226
419000,House,4,3,3097
425000,House,3,2,1492
449000,House,2,2,1506
535000,House,3,3,2612
565000,House,3,4,2947
975000,House,4,4,3701
1495000,House,4,5,4351
1699000,House,4,4,4335
184900,House,3,2,1452
269900,Townhouse,2,3,1846
357400,House,4,2,1820
735000,House,4,5,3282
1495000,House,3,3,2618
1590000,House,5,7,4882
2800000,House,4,5,5841
4380000,House,6,9,10352
245000,House,2,3,2026
379000,Townhouse,3,4,2268
405000,House,3,4,3210
579000,House,3,5,3039
750000,House,4,2,2242
1999999,House,4,5,5899
2175000,House,4,6,5748
500000,House,3,1,1300
149600,House,4,4,1392
225000,Townhouse,4,3,2049
270000,Apartment,2,2,1546
479900,House,3,4,2340
699999,House,3,4,2823
1899000,House,4,5,4704
119999,Townhouse,2,3,1218
179000,House,2,1,680
220000,Condo,2,2,1528
235000,House,3,3,2595
239900,House,3,2,2045
285000,Condo,1,2,979
395000,House,2,3,2257
425000,House,2,1,936
450000,House,3,1,1294
619990,House,4,4,4290
690000,House,2,2,2844
899999,House,4,5,4010
1500000,House,3,3,3623
5500000,House,5,8,10203
169900,House,4,3,1990
179900,Condo,1,1,675
239000,House,2,3,1582
259800,House,3,2,1520
375000,House,3,3,1999
399000,Townhouse,3,4,2726
500000,Townhouse,3,4,2354
525000,House,3,4,2091
1295000,House,5,6,4872
100000,Condo,3,3,1864
299900,Townhouse,2,3,1500
309500,House,4,3,2388
565000,House,3,4,2896
975000,House,3,4,3223
2000000,Apartment,3,4,2879
249999,House,3,2,1408
264900,House,2,2,1150
280000,House,3,3,2410
328000,House,3,3,2234
328000,House,3,3,2139
329900,Townhouse,2,3,1720
366000,House,3,3,2039
370000,House,3,3,2039
450000,Townhouse,3,4,2631
485000,House,4,3,2730
579000,House,3,3,2702
678000,House,4,4,3554
695000,Condo,3,4,2841
749500,House,5,4,3549
799797,House,3,4,3297
850000,House,4,4,3257
130000,House,3,2,1152
229000,Townhouse,2,2,1290
724500,House,3,3,3258
995000,House,5,4,4007
1265000,House,4,4,4217
1450000,House,5,6,4238
570000,House,4,2,2086
695000,House,3,4,3297
729999,Townhouse,3,4,3120
1575000,House,4,4,4717
124900,House,3,1,1302
465000,Apartment,2,2,1532
531000,House,3,4,2748
625000,House,4,4,3330
649000,Townhouse,3,4,3478
729000,House,2,3,2702
799000,House,3,3,3838
2595000,House,5,5,7121
76000,Condo,3,2,1274
149900,Townhouse,1,2,858
199990,House,3,2,1795
215000,House,4,3,2857
420000,House,4,3,2495
475000,House,4,3,2429
519000,House,2,3,2358
1799999,House,5,5,4753
1899000,House,4,5,4704
2595000,House,4,6,5890
96000,Condo,2,2,904
110000,Condo,2,2,904
158000,Townhouse,2,3,1320
186900,House,3,2,1110
195000,House,1,1,602
218000,House,3,3,1841
230000,House,3,2,1476
239000,House,4,2,1832
279000,House,3,3,2579
298000,Condo,2,1,1351
335000,Condo,2,2,1422
395000,House,2,3,2061
424900,Townhouse,3,4,2240
433000,House,3,4,2503
519000,House,3,3,3200
598000,House,4,5,3611
619900,House,3,3,2502
672000,House,5,4,4666
675000,House,3,3,2379
1348950,House,3,4,4142
155000,Condo,1,1,785
299000,Apartment,2,2,1955
540000,House,3,3,2284
695000,House,4,4,4046
959000,House,6,4,5140
198000,Condo,2,3,1332
425000,House,3,2,2139
519000,House,2,3,1650
610000,Condo,3,3,2734
1080000,House,3,6,4804
175000,House,4,2,1632
185000,Townhouse,2,3,1408
399900,House,3,2,1801
824000,House,4,3,2406
249000,Condo,2,3,2129
599000,House,3,4,2617
349000,House,2,3,2192
461000,Townhouse,2,3,2338
495000,House,3,4,2509
620000,House,3,2,2258
774999,House,4,4,3252
132000,Condo,1,1,532
264900,Townhouse,3,3,1804
279900,House,3,3,2924
299000,Apartment,2,2,919
349000,Townhouse,3,4,2278
359900,House,3,4,1933
389900,Townhouse,3,3,2016
395000,House,3,4,2273
699000,House,2,2,1772
715000,House,4,3,3210
